ligand_id,status,n_torsions,protonated_smiles
cand_2h13diazepin2one_hexahydro56,ok,16,O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1
cand_2h13diazepin2one_hexahydro56_2,ok,20,O=C1N(Cc2cccc(CO)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(CO)c1
cand_4r5s6s7r47bis4fluorophenylme,ok,20,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccc(F)cc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccc(F)cc2)N1Cc1ccc(CO)cc1
cand_4r5s6s7r56dihydroxy13bis4hyd,ok,22,COc1cccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3cccc(OC)c3)N(Cc3ccc(CO)cc3)C(=O)N2Cc2ccc(CO)cc2)c1
cand_4r5s6s7r47bis34difluoropheny,ok,20,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccc(F)c(F)c2)[C@H](O)[C@@H](O)[C@@H](Cc2ccc(F)c(F)c2)N1Cc1ccc(CO)cc1
cand_4r5s6s7r56dihydroxy13bis4hyd_2,ok,22,COc1ccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3ccc(OC)cc3)N(Cc3ccc(CO)cc3)C(=O)N2Cc2ccc(CO)cc2)cc1
cand_4r5s6s7r47dibenzyl56dihydrox,ok,16,O=C1N(Cc2cccc(I)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(I)c1
cand_4r5s6s7r47dibenzyl56dihydrox_2,ok,18,O=C1N(Cc2ccc(O)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(O)cc1
cand_4r5s6s7r47dibenzyl1butyl56di,ok,17,CCCCN1C(=O)N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1
cand_4r5s6s7r47dibenzyl56dihydrox_3,ok,18,O=C1N(Cc2cccc(O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1
cand_4r5s6s7r47dibenzyl56dihydrox_4,ok,18,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1
cand_4r5s6s7rhexahydro56dihydroxy,ok,17,O=C1N(Cc2cccc(O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1
cand_4r5s6s7r47dibenzyl1cyclopent,ok,15,O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1C1CCCC1
cand_5r6r24bishydroxymethylbenzyl,ok,19,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)CN(Cc2ccccc2)N1Cc1ccc(CO)cc1
cand_benzamide_334r5r6rdihydro5hy,ok,14,O=C1N(Cc2cccc(CO)c2)[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(CO)c1
cand_2h13diazepin2one_hexahydro56_3,ok,16,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1
cand_4r5s6s7r13dibenzyl56dihydrox,ok,18,O=C1N(Cc2ccccc2)[C@H](CCc2ccccc2)[C@H](O)[C@@H](O)[C@@H](CCc2ccccc2)N1Cc1ccccc1
cand_4r5s6s7r13dibenzyl56dihydrox_2,ok,18,O=C1N(Cc2ccccc2)[C@H](Cc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccc(O)cc2)N1Cc1ccccc1
cand_4r5s6s7r47dibenzyl13bis3fluo,ok,16,O=C1N(Cc2cccc(F)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(F)c1
cand_4r5s6s7r47dibenzyl1cycloprop,ok,16,O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CC1
cand_4r5s6s7r47dibenzyl56dihydrox_5,ok,16,O=C1N(Cc2cccc3ccccc23)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc2ccccc12
cand_4r5s6s7r47dibenzyl56dihydrox_6,ok,18,COc1cccc(CN2C(=O)N(Cc3cccc(OC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1
cand_4r5s6s7r13dibenzyl56dihydrox_3,ok,18,CC(C)c1ccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3ccc(C(C)C)cc3)N(Cc3ccccc3)C(=O)N2Cc2ccccc2)cc1
cand_4r5s6s7r13dibenzyl47biscyclo,ok,16,O=C1N(Cc2ccccc2)[C@H](CC2CCCCC2)[C@H](O)[C@@H](O)[C@@H](CC2CCCCC2)N1Cc1ccccc1
cand_2h13diazepin2one_hexahydro56_4,ok,16,O=C1N(Cc2ccccc2)[C@H](Cc2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H](Cc2ccc3ccccc3c2)N1Cc1ccccc1
