ligand_id,name,status,cid,formula,mw,smiles
saquinavir,Saquinavir,approved,441243,C38H50N6O5,670.8,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
ritonavir,Ritonavir,approved,392622,C37H48N6O5S2,720.9,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
indinavir,Indinavir,approved,5362440,C36H47N5O4,613.8,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
nelfinavir,Nelfinavir,approved,64143,C32H45N3O4S,567.8,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
amprenavir,Amprenavir,approved,65016,C25H35N3O6S,505.6,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
lopinavir,Lopinavir,approved,92727,C37H48N4O5,628.8,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
atazanavir,Atazanavir,approved,148192,C38H52N6O7,704.9,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
fosamprenavir,Fosamprenavir,approved,131536,C25H36N3O9PS,585.6,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
tipranavir,Tipranavir,approved,54682461,C31H33F3N2O5S,602.7,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
darunavir,Darunavir,approved,213039,C27H37N3O7S,547.7,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
cobicistat,Cobicistat,booster,25151504,C40H53N7O5S2,776.0,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1
brecanavir,Brecanavir,discontinued,5743186,C33H41N3O10S2,703.8,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1
mozenavir,Mozenavir,discontinued,154044,C33H36N4O3,536.7,Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1
palinavir,Palinavir,discontinued,72981,C41H52N6O5,708.9,CC(C)[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C
telinavir,Telinavir,discontinued,382974,C33H44N6O5,604.7,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(C)(C)C
kni272,KNI-272,investigational,60927,C33H41N5O6S2,667.8,CSC[C@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C
gs8374,GS-8374,investigational,12004117,C33H49N2O12PS,728.8,CCOP(=O)(COc1ccc(C[C@H](NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1)OCC
dmp323,DMP-323,discontinued,72404,C35H38N2O5,566.7,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(CO)cc1
tmc310911,TMC-310911,investigational,53361968,C38H53N5O7S2,756.0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCC4)CC3)sc2c1
grl0519,GRL-0519,investigational,46891890,C30H40N2O9S,604.7,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3O[C@@H]4OCC[C@@H]4[C@H]32)cc1
