ligand_id,name,hiv_protease,cathepsin_d,bace1,ddg_cathepsin_d,ddg_bace1,selectivity_score,selective_for_hiv,hit,seed_from,QED,MW,logP,Ro5_viol
cand_4r5s6s7r47dibenzyl56dihydrox_3,"(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1-[[4-(hydroxymethyl)phenyl]methyl]-3-(2-naphthylmethyl)-1,3-diazepan-2-one",-9.482,-6.057,-6.996,3.424999999999999,2.485999999999999,2.485999999999999,True,True,DMP-323,0.207,586.7,5.71,2
cand_4r5s6s7r13dibenzyl47biscyclo,"(4R,5S,6S,7R)-1,3-dibenzyl-4,7-bis(cyclohexylmethyl)-5,6-dihydroxy-1,3-diazepan-2-one",-8.965,-6.766,-6.862,2.199,2.1029999999999998,2.1029999999999998,True,True,DMP-323,0.418,518.7,6.52,2
cand_5r6r24bishydroxymethylbenzyl,"(5R,6R)-2,4-Bis[(hydroxymethyl)benzyl]-1,5-dibenzyl-6-hydroxy-3-oxo-1,2,4-triazacycloheptane",-8.771,-7.009,-7.002,1.7620000000000005,1.769000000000001,1.7620000000000005,True,True,DMP-323,0.27,551.7,4.5,1
cand_2h13diazepin2one_hexahydro56,"2H-1,3-Diazepin-2-one, hexahydro-5,6-dihydroxy-1,3-bis((3-(hydroxymethyl)phenyl)methyl)-4,7-bis(phenylmethyl)-, (4R,5S,6S,7R)-",-8.818,-6.608,-7.213,2.21,1.6049999999999995,1.6049999999999995,True,True,DMP-323,0.232,566.7,4.05,1
cand_4r5s6s7r47dibenzyl56dihydrox_2,"(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1,3-bis[(3-hydroxyphenyl)methyl]-1,3-diazepan-2-one",-8.932,-6.095,-7.39,2.8370000000000006,1.5420000000000007,1.5420000000000007,True,True,DMP-323,0.265,538.6,4.48,1
cand_4r5s6s7r13dibenzyl56dihydrox,"(4R,5S,6S,7R)-1,3-dibenzyl-5,6-dihydroxy-4,7-diphenethyl-1,3-diazepan-2-one",-9.07,-6.143,-7.589,2.9270000000000005,1.4809999999999999,1.4809999999999999,True,True,DMP-323,0.268,534.7,5.85,2
cand_2h13diazepin2one_hexahydro56_2,"2H-1,3-Diazepin-2-one, hexahydro-5,6-dihydroxy-1,3,4,7-tetrakis(phenylmethyl)-, (4R,5S,6S,7R)-",-8.803,-6.507,-7.623,2.296000000000001,1.1800000000000006,1.1800000000000006,True,True,DMP-323,0.351,506.6,5.07,2
cand_4r5s6s7r47dibenzyl56dihydrox,"(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1,3-bis[(4-hydroxyphenyl)methyl]-1,3-diazepan-2-one",-8.453,-6.443,-7.491,2.01,0.9619999999999997,0.9619999999999997,True,True,DMP-323,0.265,538.6,4.48,1
cand_4r5s6s7r13dibenzyl56dihydrox_2,"(4R,5S,6S,7R)-1,3-dibenzyl-5,6-dihydroxy-4,7-bis[(4-hydroxyphenyl)methyl]-1,3-diazepan-2-one",-8.507,-6.135,-7.693,2.372,0.8140000000000001,0.8140000000000001,True,True,DMP-323,0.265,538.6,4.48,1
cand_4r5s6s7r47bis4fluorophenylme,"(4R,5S,6S,7R)-4,7-bis[(4-fluorophenyl)methyl]-5,6-dihydroxy-1,3-bis[[4-(hydroxymethyl)phenyl]methyl]-1,3-diazepan-2-one",-8.582,-6.775,-7.77,1.8070000000000004,0.8120000000000012,0.8120000000000012,True,True,DMP-323,0.216,602.7,4.33,1
cand_4r5s6s7r13dibenzyl56dihydrox_3,"(4R,5S,6S,7R)-1,3-dibenzyl-5,6-dihydroxy-4,7-bis({[4-(propan-2-yl)phenyl]methyl})-1,3-diazepan-2-one",-8.508,-6.95,-7.806,1.557999999999999,0.7019999999999991,0.7019999999999991,True,True,DMP-323,0.204,590.8,7.32,2
cand_4r5s6s7r47bis34difluoropheny,"(4R,5S,6S,7R)-4,7-bis[(3,4-difluorophenyl)methyl]-5,6-dihydroxy-1,3-bis[[4-(hydroxymethyl)phenyl]methyl]-1,3-diazepan-2-one",-8.358,-6.44,-7.794,1.9180000000000001,0.564000000000001,0.564000000000001,True,True,DMP-323,0.19,638.7,4.61,1
