ligand_id,name,status,hiv_protease,cathepsin_d,bace1,selectivity_score,cluster
amprenavir,Amprenavir,approved,-8.852,-8.333,-7.923,0.5190000000000001,1
atazanavir,Atazanavir,approved,-8.669,-8.443,-9.52,-0.8509999999999991,0
brecanavir,Brecanavir,discontinued,-9.678,-8.479,-8.792,0.886000000000001,0
cobicistat,Cobicistat,booster,-9.148,-9.186,-9.942,-0.7940000000000005,0
darunavir,Darunavir,approved,-9.485,-9.249,-10.57,-1.0850000000000009,0
dmp323,DMP-323,discontinued,-8.285,-5.65,-6.846,1.439,1
fosamprenavir,Fosamprenavir,approved,-8.172,-7.284,-8.158,0.014000000000001123,1
grl0519,GRL-0519,investigational,-9.644,-8.972,-9.349,0.29499999999999993,0
gs8374,GS-8374,investigational,-8.521,-8.232,-7.834,0.2890000000000015,1
indinavir,Indinavir,approved,-10.18,-8.19,-9.407,0.7729999999999997,0
kni272,KNI-272,investigational,-9.206,-9.227,-9.497,-0.29100000000000037,0
lopinavir,Lopinavir,approved,-10.68,-10.06,-10.17,0.5099999999999998,2
mozenavir,Mozenavir,discontinued,-8.911,-6.612,-7.763,1.1479999999999997,1
nelfinavir,Nelfinavir,approved,-10.99,-10.26,-8.595,0.7300000000000004,2
palinavir,Palinavir,discontinued,-10.15,-9.859,-10.16,-0.009999999999999787,2
ritonavir,Ritonavir,approved,-9.836,-9.157,-9.999,-0.16300000000000026,0
saquinavir,Saquinavir,approved,-10.37,-9.952,-10.16,0.20999999999999908,2
telinavir,Telinavir,discontinued,-9.581,-9.214,-9.495,0.0860000000000003,0
tipranavir,Tipranavir,approved,-10.81,-9.576,-9.013,1.234,2
tmc310911,TMC-310911,investigational,-10.25,-10.06,-10.13,0.11999999999999922,2
