receptor,ligand_id
hiv_protease,cand_14benzyl2hydroxy52hydroxy23d
hiv_protease,cand_14benzyl2hydroxy52hydroxy23d_2
hiv_protease,cand_1s1n2s2hydroxy21s2r2hydroxyi
hiv_protease,cand_1s1n2s2hydroxy21s2r2hydroxyi_2
hiv_protease,cand_21r2s23r3as6arhexahydrofuro2
hiv_protease,cand_22r3s33as4r6ar233a456ahexahy
hiv_protease,cand_22r3s33as4r6ar233a456ahexahy_2
hiv_protease,cand_22r3s33as4r6ar233a456ahexahy_4
hiv_protease,cand_22r3s33as4r6ar233a456ahexahy_5
hiv_protease,cand_22r3s33as4r6ar233a456ahexahy_6
hiv_protease,cand_2h13diazepin2one_hexahydro56
hiv_protease,cand_2h13diazepin2one_hexahydro56_2
hiv_protease,cand_2h13diazepin2one_hexahydro56_3
hiv_protease,cand_2h13diazepin2one_hexahydro56_4
hiv_protease,cand_2pyridinesulfonamide_n456dih
hiv_protease,cand_2pyridinesulfonamide_n46s56d
hiv_protease,cand_2r3s33as4r6ar233a456ahexahyd_2
hiv_protease,cand_2r3s33as4r6ar233a456ahexahyd_3
hiv_protease,cand_2r3s33as4r6ar233a456ahexahyd_5
hiv_protease,cand_2r44aminopiperidin1yl2benzyl
hiv_protease,cand_2r4s2benzyl55r5benzyl2oxo3py
hiv_protease,cand_2r4s2benzyl55r5benzyl2oxo3py_2
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_2
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_3
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_4
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_5
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_6
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_7
hiv_protease,cand_2s12s4r4benzyl2hydroxy52r2hy_8
hiv_protease,cand_2s12s4s4benzyl2hydroxy51s2r2
hiv_protease,cand_3ar6s7as52r3r2hydroxy33hydro
hiv_protease,cand_3as4r6ar233a456ahexahydrofur
hiv_protease,cand_3as4r6ar233a456ahexahydrofur_2
hiv_protease,cand_3r3as6arhexahydrofuro23bfura
hiv_protease,cand_4r32s3s32ethyl3hydroxyphenyl
hiv_protease,cand_4r5s6s7r13dibenzyl47biscyclo
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_2
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_3
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_4
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_5
hiv_protease,cand_4r5s6s7r47bis34difluoropheny
hiv_protease,cand_4r5s6s7r47bis4fluorophenylme
hiv_protease,cand_4r5s6s7r47biscyclohexylmethy
hiv_protease,cand_4r5s6s7r47dibenzyl13bis3fluo
hiv_protease,cand_4r5s6s7r47dibenzyl1butyl56di
hiv_protease,cand_4r5s6s7r47dibenzyl1cyclopent
hiv_protease,cand_4r5s6s7r47dibenzyl1cycloprop
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_2
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_3
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_4
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_5
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_6
hiv_protease,cand_4r5s6s7r56dihydroxy13bis4hyd
hiv_protease,cand_4r5s6s7r56dihydroxy13bis4hyd_2
hiv_protease,cand_4r5s6s7r56dihydroxy13bis4hyd_3
hiv_protease,cand_4r5s6s7rhexahydro56dihydroxy
hiv_protease,cand_4thiazolidinecarboxamide_n11
hiv_protease,cand_52s2ntertbutylcarbamoyl4thio
hiv_protease,cand_52s43pyridylmethyl2n222trifl
hiv_protease,cand_5aminon314hydroxy6oxo2phenet
hiv_protease,cand_5cyanon31235cyano2pyridylsul
hiv_protease,cand_5cyanon314hydroxy2oxo4a56788
hiv_protease,cand_5cyanon314hydroxy2oxo62pheny
hiv_protease,cand_5cyanon314hydroxy2oxo67dihyd
hiv_protease,cand_5cyanon31s12r4hydroxy6oxo2ph
hiv_protease,cand_5r6r24bishydroxymethylbenzyl
hiv_protease,cand_benzamide_334r5r6rdihydro5hy
hiv_protease,cand_carbamic_acid_1s2r313benzodi
hiv_protease,cand_carbamic_acid_1s2r313benzodi_2
hiv_protease,cand_carbamic_acid_1s2r313benzodi_3
hiv_protease,cand_carbamic_acid_1s2r313benzodi_4
hiv_protease,cand_carbamic_acid_1s2r313benzodi_5
hiv_protease,cand_cid_172918925
hiv_protease,cand_cid_9830191
hiv_protease,cand_je2147
hiv_protease,cand_methyl_n1s12s2benzyl2hydroxy
hiv_protease,cand_methyl_n1s12s2benzyl2hydroxy_2
hiv_protease,cand_methyl_n1s12s2benzyl2hydroxy_3
hiv_protease,cand_methyl_n1s12s2benzyl2hydroxy_4
