receptor,ligand_id,seed,exhaustiveness
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_3,1,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_3,2,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_3,3,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_3,4,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_3,5,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_3,1,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_3,2,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_3,3,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_3,4,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_3,5,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_3,1,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_3,2,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_3,3,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_3,4,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_3,5,32
hiv_protease,cand_4r5s6s7r13dibenzyl47biscyclo,1,32
hiv_protease,cand_4r5s6s7r13dibenzyl47biscyclo,2,32
hiv_protease,cand_4r5s6s7r13dibenzyl47biscyclo,3,32
hiv_protease,cand_4r5s6s7r13dibenzyl47biscyclo,4,32
hiv_protease,cand_4r5s6s7r13dibenzyl47biscyclo,5,32
cathepsin_d,cand_4r5s6s7r13dibenzyl47biscyclo,1,32
cathepsin_d,cand_4r5s6s7r13dibenzyl47biscyclo,2,32
cathepsin_d,cand_4r5s6s7r13dibenzyl47biscyclo,3,32
cathepsin_d,cand_4r5s6s7r13dibenzyl47biscyclo,4,32
cathepsin_d,cand_4r5s6s7r13dibenzyl47biscyclo,5,32
bace1,cand_4r5s6s7r13dibenzyl47biscyclo,1,32
bace1,cand_4r5s6s7r13dibenzyl47biscyclo,2,32
bace1,cand_4r5s6s7r13dibenzyl47biscyclo,3,32
bace1,cand_4r5s6s7r13dibenzyl47biscyclo,4,32
bace1,cand_4r5s6s7r13dibenzyl47biscyclo,5,32
hiv_protease,cand_5r6r24bishydroxymethylbenzyl,1,32
hiv_protease,cand_5r6r24bishydroxymethylbenzyl,2,32
hiv_protease,cand_5r6r24bishydroxymethylbenzyl,3,32
hiv_protease,cand_5r6r24bishydroxymethylbenzyl,4,32
hiv_protease,cand_5r6r24bishydroxymethylbenzyl,5,32
cathepsin_d,cand_5r6r24bishydroxymethylbenzyl,1,32
cathepsin_d,cand_5r6r24bishydroxymethylbenzyl,2,32
cathepsin_d,cand_5r6r24bishydroxymethylbenzyl,3,32
cathepsin_d,cand_5r6r24bishydroxymethylbenzyl,4,32
cathepsin_d,cand_5r6r24bishydroxymethylbenzyl,5,32
bace1,cand_5r6r24bishydroxymethylbenzyl,1,32
bace1,cand_5r6r24bishydroxymethylbenzyl,2,32
bace1,cand_5r6r24bishydroxymethylbenzyl,3,32
bace1,cand_5r6r24bishydroxymethylbenzyl,4,32
bace1,cand_5r6r24bishydroxymethylbenzyl,5,32
hiv_protease,cand_2h13diazepin2one_hexahydro56,1,32
hiv_protease,cand_2h13diazepin2one_hexahydro56,2,32
hiv_protease,cand_2h13diazepin2one_hexahydro56,3,32
hiv_protease,cand_2h13diazepin2one_hexahydro56,4,32
hiv_protease,cand_2h13diazepin2one_hexahydro56,5,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56,1,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56,2,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56,3,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56,4,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56,5,32
bace1,cand_2h13diazepin2one_hexahydro56,1,32
bace1,cand_2h13diazepin2one_hexahydro56,2,32
bace1,cand_2h13diazepin2one_hexahydro56,3,32
bace1,cand_2h13diazepin2one_hexahydro56,4,32
bace1,cand_2h13diazepin2one_hexahydro56,5,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_2,1,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_2,2,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_2,3,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_2,4,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox_2,5,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_2,1,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_2,2,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_2,3,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_2,4,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_2,5,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_2,1,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_2,2,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_2,3,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_2,4,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox_2,5,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox,1,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox,2,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox,3,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox,4,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox,5,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox,1,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox,2,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox,3,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox,4,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox,5,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox,1,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox,2,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox,3,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox,4,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox,5,32
hiv_protease,cand_2h13diazepin2one_hexahydro56_2,1,32
hiv_protease,cand_2h13diazepin2one_hexahydro56_2,2,32
hiv_protease,cand_2h13diazepin2one_hexahydro56_2,3,32
hiv_protease,cand_2h13diazepin2one_hexahydro56_2,4,32
hiv_protease,cand_2h13diazepin2one_hexahydro56_2,5,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56_2,1,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56_2,2,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56_2,3,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56_2,4,32
cathepsin_d,cand_2h13diazepin2one_hexahydro56_2,5,32
bace1,cand_2h13diazepin2one_hexahydro56_2,1,32
bace1,cand_2h13diazepin2one_hexahydro56_2,2,32
bace1,cand_2h13diazepin2one_hexahydro56_2,3,32
bace1,cand_2h13diazepin2one_hexahydro56_2,4,32
bace1,cand_2h13diazepin2one_hexahydro56_2,5,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox,1,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox,2,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox,3,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox,4,32
hiv_protease,cand_4r5s6s7r47dibenzyl56dihydrox,5,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox,1,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox,2,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox,3,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox,4,32
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox,5,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox,1,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox,2,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox,3,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox,4,32
bace1,cand_4r5s6s7r47dibenzyl56dihydrox,5,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_2,1,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_2,2,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_2,3,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_2,4,32
hiv_protease,cand_4r5s6s7r13dibenzyl56dihydrox_2,5,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_2,1,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_2,2,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_2,3,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_2,4,32
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_2,5,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_2,1,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_2,2,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_2,3,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_2,4,32
bace1,cand_4r5s6s7r13dibenzyl56dihydrox_2,5,32
hiv_protease,cand_4r5s6s7r47bis4fluorophenylme,1,32
hiv_protease,cand_4r5s6s7r47bis4fluorophenylme,2,32
hiv_protease,cand_4r5s6s7r47bis4fluorophenylme,3,32
hiv_protease,cand_4r5s6s7r47bis4fluorophenylme,4,32
hiv_protease,cand_4r5s6s7r47bis4fluorophenylme,5,32
cathepsin_d,cand_4r5s6s7r47bis4fluorophenylme,1,32
cathepsin_d,cand_4r5s6s7r47bis4fluorophenylme,2,32
cathepsin_d,cand_4r5s6s7r47bis4fluorophenylme,3,32
cathepsin_d,cand_4r5s6s7r47bis4fluorophenylme,4,32
cathepsin_d,cand_4r5s6s7r47bis4fluorophenylme,5,32
bace1,cand_4r5s6s7r47bis4fluorophenylme,1,32
bace1,cand_4r5s6s7r47bis4fluorophenylme,2,32
bace1,cand_4r5s6s7r47bis4fluorophenylme,3,32
bace1,cand_4r5s6s7r47bis4fluorophenylme,4,32
bace1,cand_4r5s6s7r47bis4fluorophenylme,5,32
